"acronym","Hugo_Symbol","mut_only","cnv_positive","cnv_negative","nothing","cnv_positive_mut","cnv_negative_mut","p.value","odds","p.adj"
"BLCA","ARID1A",71,963,2846,6586,25,23,0.000556695547959701,2.40773713615747,0.00904005769284701
"BLCA","EPHA2",13,1139,2720,6615,1,3,0.707924978115348,0.446781492317444,0.882659471067649
"BLCA","MACF1",17,1518,1965,6982,6,5,0.281645535433768,1.62323133883725,0.519111379034787
"BLCA","RPL5",0,1197,2377,6913,2,0,0.0218310014135721,Inf,0.125288611863889
"BLCA","THRAP3",8,1378,2104,6996,1,3,1,0.634646914703126,1
"BLCA","ZC3H12A",3,1398,2056,7031,1,0,0.516028732340852,1.67631676645537,0.664475353973152
"BRCA","ACVR2A",3,1452,1262,7769,3,0,0.053895484746974,5.34915910341268,0.197496083302754
"BRCA","ALK",2,2008,836,7641,3,0,0.0644497398251122,5.70651641709977,0.210918881299058
"BRCA","APOB",2,1944,925,7613,5,1,0.00507598392173755,9.7871305434473,0.0477142488643329
"BRCA","ASXL2",4,1966,913,7603,3,3,0.157760498054726,2.90000906605248,0.400796941003898
"BRCA","CASP8",8,1502,1307,7668,5,1,0.0481307944029459,3.19018663024938,0.193877363648909
"BRCA","DHX9",0,3830,512,6143,4,0,0.0217866220419225,Inf,0.125288611863889
"BRCA","DNMT3A",2,1950,913,7622,2,1,0.186699332424309,3.90797296721089,0.408522848709043
"BRCA","ELF3",0,3760,623,6105,1,0,0.38120818974255,Inf,0.583566682252609
"BRCA","MSH6",2,1977,787,7722,2,0,0.186877473345626,3.90518394797602,0.408522848709043
"BRCA","NOTCH2",5,3413,1262,5806,8,0,0.0849568762345002,2.72152644429593,0.257611173098162
"BRCA","NUP133",1,3689,744,6054,1,0,1,1.64094206502975,1
"BRCA","PMS1",0,1638,1107,7742,2,0,0.0305406472636593,Inf,0.151095833830736
"BRCA","PTPRC",0,3743,618,6125,3,0,0.0546265762326767,Inf,0.197496083302754
"BRCA","RIT1",1,4004,420,6064,1,0,1,1.51438002575901,1
"BRCA","SF3B1",15,1595,1135,7742,1,2,0.500732868803809,0.323619654153725,0.653734578716084
"BRCA","SPTA1",6,3910,443,6119,17,0,0.000911272410041781,4.43339526649548,0.0122370866491325
"BRCA","XPO1",5,2017,744,7721,1,1,1,0.765614669619826,1
"BRCA","ZFP36L2",1,1973,857,7655,3,0,0.0291933201774172,11.632237516304,0.151095833830736
"CESC","CTNNB1",3,1014,3145,6325,2,0,0.143673526639413,4.15758056931385,0.37514754178069
"CESC","MLH1",2,1079,3050,6356,1,2,0.375455645529048,2.94471970532058,0.583566682252609
"CESC","TGFBR2",1,1110,3016,6357,1,4,0.275387258587055,5.72495277403247,0.519111379034787
"COAD","PBRM1",13,933,3392,6151,2,2,1,1.0142623958405,1
"COAD","PIK3CA",131,3430,809,6128,17,10,2.95556748635287e-11,0.231873922010965,2.7782334371717e-09
