"","acronym","Hugo_Symbol","mut_only","cnv_positive","cnv_negative","nothing","cnv_positive_mut","cnv_negative_mut","p.value","p.adj"
"331","BLCA","ARID1A",71,963,2846,6586,25,23,0.000556695547959701,0.0127578137405849
"1299","BLCA","EPHA2",13,1139,2720,6615,1,3,0.707924978115348,0.86182171248825
"2521","BLCA","MACF1",17,1518,1965,6982,6,5,0.281645535433768,0.438115277341416
"3973","BLCA","RPL5",0,1197,2377,6913,2,0,0.0218310014135721,0.122162589054637
"4596","BLCA","THRAP3",8,1378,2104,6996,1,3,1,1
"5023","BLCA","ZC3H12A",3,1398,2056,7031,1,0,0.516028732340852,0.656763841161085
"10450","BRCA","ACVR2A",3,1452,1262,7769,3,0,0.053895484746974,0.152954413451495
"10526","BRCA","ALK",2,2008,836,7641,3,0,0.0644497398251122,0.164053883191195
"10600","BRCA","APOB",2,1944,925,7613,5,1,0.00507598392173755,0.0473758499362171
"10666","BRCA","ASXL2",4,1966,913,7603,3,3,0.157760498054726,0.315520996109451
"10963","BRCA","CASP8",8,1502,1307,7668,5,1,0.0481307944029459,0.152954413451495
"11417","BRCA","DHX9",0,3830,512,6143,4,0,0.0217866220419225,0.122162589054637
"11462","BRCA","DNMT3A",2,1950,913,7622,2,1,0.186699332424309,0.327035578354846
"11563","BRCA","ELF3",0,3760,623,6105,1,0,0.38120818974255,0.53369146563957
"13268","BRCA","MSH6",2,1977,787,7722,2,0,0.186877473345626,0.327035578354846
"13441","BRCA","NOTCH2",5,3413,1262,5806,8,0,0.0849568762345002,0.198232711213834
"13486","BRCA","NUP133",1,3689,744,6054,1,0,1,1
"13783","BRCA","PMS1",0,1638,1107,7742,2,0,0.0305406472636593,0.122162589054637
"13965","BRCA","PTPRC",0,3743,618,6125,3,0,0.0546265762326767,0.152954413451495
"14124","BRCA","RIT1",1,4004,420,6064,1,0,1,1
"14418","BRCA","SF3B1",15,1595,1135,7742,1,2,0.500732868803809,0.656763841161085
"14703","BRCA","SPTA1",6,3910,443,6119,17,0,0.000911272410041781,0.0127578137405849
"15282","BRCA","XPO1",5,2017,744,7721,1,1,1,1
"15334","BRCA","ZFP36L2",1,1973,857,7655,3,0,0.0291933201774172,0.122162589054637
"16454","CESC","CTNNB1",3,1014,3145,6325,2,0,0.143673526639413,0.309450672761813
"18359","CESC","MLH1",2,1079,3050,6356,1,2,0.375455645529048,0.53369146563957
"20021","CESC","TGFBR2",1,1110,3016,6357,1,4,0.275387258587055,0.438115277341416
"23930","COAD","PBRM1",13,933,3392,6151,2,2,1,1
